SENSA WELLNESS - UNIT ECONOMICS TEMPLATE,,,,
Last updated:,,,,
,,,,
==== SECTION 1: PRODUCT PRICING ====,,,,
Product,Unit Price,Units Sold (monthly),Monthly Revenue,Notes
1-Test Kit,$0.00,0,$0.00,Enter your selling price
3-Test Pack,$0.00,0,$0.00,Enter your selling price
4-Test Pack,$0.00,0,$0.00,Enter your selling price
,,,,
TOTAL MONTHLY REVENUE,,$0.00,,
AVERAGE ORDER VALUE (AOV),,$0.00,,Revenue / total orders
,,,,
==== SECTION 2: COST OF GOODS SOLD (COGS) - PER TEST ====,,,,
Component,Cost per Unit,Notes,,
CRP Test Strip,$0.00,Get quote from supplier,,
Lancet,$0.00,Commodity item,,
Alcohol Wipe,$0.00,Commodity item,,
Packaging / Box,$0.00,Box + insert card + instructions,,
Kitting / Assembly,$0.00,Contract manufacturer or 3PL,,
Other,$0.00,,,
,,,,
TOTAL COGS PER TEST,$0.00,,,
,,,,
==== SECTION 3: VARIABLE COSTS - PER ORDER ====,,,,
Cost Item,Cost per Order,Notes,,
Outbound Shipping,$0.00,USPS / UPS / 3PL rate,,
Payment Processing,$0.00,Stripe: 2.9% of order + $0.30,,
Returns / Replacements,$0.00,Estimate as % of orders,,
Other,$0.00,,,
,,,,
TOTAL VARIABLE COST PER ORDER,$0.00,,,
,,,,
==== SECTION 4: UNIT ECONOMICS (AUTO-CALCULATED) ====,,,,
Metric,Value,Formula,Target,Notes
Gross Profit per Test,$0.00,Unit Price - COGS,,$0.00
Gross Margin %,0.0%,Gross Profit / Unit Price,60%+,
Contribution Margin per Order,$0.00,AOV - COGS - Variable Costs,,
Contribution Margin %,0.0%,Contribution Margin / AOV,40%+,
,,,,
==== SECTION 5: CUSTOMER ACQUISITION ====,,,,
Metric,Value,Notes,,
Monthly Marketing Spend,$0.00,Total ad spend + content costs,,
New Customers (monthly),0,,,
Customer Acquisition Cost (CAC),$0.00,Marketing Spend / New Customers,,
,,,,
==== SECTION 6: LIFETIME VALUE (LTV) ====,,,,
Metric,Value,Notes,,
Avg Tests per Customer per Year,0,How often does a customer reorder?,,
Avg Revenue per Customer per Year,$0.00,Tests/year x AOV,,
Avg Customer Lifespan (years),0,How long do they stay active?,,
Gross LTV,$0.00,Annual Revenue x Lifespan,,
Contribution LTV,$0.00,Annual Contribution Margin x Lifespan,,
,,,,
==== SECTION 7: KEY RATIOS ====,,,,
Metric,Value,Formula,Target,Notes
LTV:CAC Ratio,0.0x,Contribution LTV / CAC,3:1 or better,
Payback Period (months),0,CAC / Monthly Contribution Margin,Under 12 months,
Monthly Recurring Revenue (MRR),$0.00,Active subscribers x AOV,,
Annual Recurring Revenue (ARR),$0.00,MRR x 12,,
,,,,
==== SECTION 8: BREAK-EVEN ANALYSIS ====,,,,
Metric,Value,Notes,,
Monthly Fixed Costs,$0.00,Salaries + software + overhead,,
Break-even Units (monthly),0,Fixed Costs / Contribution Margin per Order,,
Break-even Revenue (monthly),$0.00,Break-even Units x AOV,,
,,,,
==== SECTION 9: SCENARIO PLANNING ====,,,,
Scenario,Monthly Orders,AOV,COGS/Test,CAC,LTV:CAC,Notes
Conservative,0,$0.00,$0.00,$0.00,0.0x,Low volume / early stage
Base Case,0,$0.00,$0.00,$0.00,0.0x,Realistic near-term target
Optimistic,0,$0.00,$0.00,$0.00,0.0x,At scale with supplier discounts
